PE IR       SPECTRUM    SPECTRUM    ASCII       PEDS        1.60        ,
-1,
SPIKED~1.ASC,
15/01/10,
16:34.0,
15/01/10,
16:34.0,
Admin,
canola oil,
1000,
10,
,
,
,
,
,
,
,
,
,
"502,2.19",
LITAO3,
MIR,
KBR,
49809,
0.3,
1,
1,
STRONG,
RATIO,
SPECTRUM,
,
,
DOUBLE,
10,
BI DIRECTIONAL,
2,
,
0,
,
,
#HDR,
-1,
-1,
#GR,
CM-1,
A,
1.19209E-07,
0,
4000,
-0.5,
6001,
8,
0.132701,
-0.000966,
#DATA,
4000,0.001714
3999.5,0.002578
3999,0.001957
3998.5,0.001573
3998,0.002119
3997.5,0.002287
3997,0.002135
3996.5,0.001229
3996,0.000852
3995.5,0.001573
3995,0.00092
3994.5,0.000362
3994,0.000769
3993.5,0.000333
3993,0.000354
3992.5,0.001031
3992,0.002005
3991.5,0.00247
3991,0.002052
3990.5,0.001279
3990,0.000864
3989.5,0.000707
3989,0.000787
3988.5,0.000897
3988,0.000507
3987.5,0.000832
3987,0.001801
3986.5,0.00129
3986,0.000331
3985.5,0.000288
3985,0.000495
3984.5,0.000636
3984,0.001152
3983.5,0.002032
3983,0.003025
3982.5,0.002665
3982,0.001259
3981.5,0.001031
3981,0.001891
3980.5,0.002242
3980,0.001684
3979.5,0.001128
3979,0.000854
3978.5,0.00125
3978,0.001586
3977.5,0.001181
3977,0.001566
3976.5,0.001486
3976,0.001239
3975.5,0.001154
3975,0.000681
3974.5,0.00136
3974,0.001801
3973.5,0.001365
3973,0.001314
3972.5,0.001071
3972,0.001035
3971.5,0.001252
3971,0.001452
3970.5,0.001521
3970,0.000927
3969.5,0.000776
3969,0.000522
3968.5,0.000336
3968,0.001433
3967.5,0.001989
3967,0.001417
3966.5,0.000981
3966,0.001074
3965.5,0.001856
3965,0.001879
3964.5,0.000341
3964,-0.000001
3963.5,0.001209
3963,0.001678
3962.5,0.001259
3962,0.000913
3961.5,0.00131
3961,0.001368
3960.5,0.000864
3960,0.000578
3959.5,0.00085
3959,0.001194
3958.5,0.001694
3958,0.002627
3957.5,0.002393
3957,0.001718
3956.5,0.001191
3956,0.000391
3955.5,0.000862
3955,0.000693
3954.5,0.000243
3954,0.000535
3953.5,0.000404
3953,0.001385
3952.5,0.001614
3952,0.001568
3951.5,0.001142
3951,0.001013
3950.5,0.001227
3950,0.001681
3949.5,0.002327
3949,0.002302
3948.5,0.002087
3948,0.001508
3947.5,0.001518
3947,0.002553
3946.5,0.003182
3946,0.002767
3945.5,0.001468
3945,0.000353
3944.5,-0.000251
3944,0.000291
3943.5,0.001177
3943,0.001974
3942.5,0.001839
3942,0.000961
3941.5,0.000696
3941,0.000875
3940.5,0.001432
3940,0.001312
3939.5,0.000975
3939,0.000883
3938.5,0.0009
3938,0.001503
3937.5,0.001576
3937,0.000746
3936.5,0.000399
3936,0.000688
3935.5,0.000991
3935,0.001581
3934.5,0.001826
3934,0.001335
3933.5,0.000832
3933,0.00125
3932.5,0.001842
3932,0.001708
3931.5,0.001422
3931,0.001152
3930.5,0.000626
3930,0.000774
3929.5,0.001678
3929,0.00231
3928.5,0.001887
3928,0.001073
3927.5,0.001046
3927,0.001257
3926.5,0.001221
3926,0.000578
3925.5,0.00085
3925,0.001114
3924.5,0.001415
3924,0.002
3923.5,0.001463
3923,0.000913
3922.5,0.001553
3922,0.001633
3921.5,0.001224
3921,0.001558
3920.5,0.001907
3920,0.001242
3919.5,0.000683
3919,0.001086
3918.5,0.001944
3918,0.001609
3917.5,0.000737
3917,0.00145
3916.5,0.002965
3916,0.002685
3915.5,0.001595
3915,0.001126
3914.5,0.000923
3914,0.000978
3913.5,0.001207
3913,0.001941
3912.5,0.002258
3912,0.002012
3911.5,0.001826
3911,0.001397
3910.5,0.001902
3910,0.002172
3909.5,0.002084
3909,0.002307
3908.5,0.001696
3908,0.00139
3907.5,0.001471
3907,0.001069
3906.5,0.001445
3906,0.001762
3905.5,0.00209
3905,0.0024
3904.5,0.001984
3904,0.001463
3903.5,0.000213
3903,-0.000125
3902.5,0.000852
3902,0.001616
3901.5,0.002252
3901,0.00245
3900.5,0.00155
3900,0.001576
3899.5,0.002129
3899,0.002267
3898.5,0.002029
3898,0.001324
3897.5,0.000996
3897,0.001415
3896.5,0.001729
3896,0.000968
3895.5,0.001126
3895,0.001952
3894.5,0.00145
3894,0.000717
3893.5,0.000789
3893,0.000425
3892.5,0.000961
3892,0.001926
3891.5,0.001876
3891,0.00134
3890.5,0.001466
3890,0.001809
3889.5,0.002154
3889,0.002467
3888.5,0.002283
3888,0.001485
3887.5,0.001448
3887,0.001832
3886.5,0.001106
3886,0.000324
3885.5,0.000459
3885,0.000888
3884.5,0.001116
3884,0.00024
3883.5,0.000192
3883,0.000996
3882.5,0.001063
3882,0.00143
3881.5,0.001546
3881,0.001892
3880.5,0.002427
3880,0.002557
3879.5,0.002528
3879,0.001759
3878.5,0.001254
3878,0.001972
3877.5,0.002365
3877,0.001872
3876.5,0.001488
3876,0.001423
3875.5,0.001104
3875,0.000049
3874.5,-0.000293
3874,0.000525
3873.5,0.000812
3873,0.000522
3872.5,0.001279
3872,0.001304
3871.5,0.000862
3871,0.001473
3870.5,0.001629
3870,0.001001
3869.5,0.000756
3869,0.001994
3868.5,0.001842
3868,0.001099
3867.5,0.001025
3867,0.00085
3866.5,0.001433
3866,0.002505
3865.5,0.002062
3865,0.000966
3864.5,0.001091
3864,0.001834
3863.5,0.00202
3863,0.001216
3862.5,0.000722
3862,0.001114
3861.5,0.000281
3861,0.000197
3860.5,0.002597
3860,0.003503
3859.5,0.002548
3859,0.001917
3858.5,0.001079
3858,0.000402
3857.5,0.000616
3857,0.000188
3856.5,0.000412
3856,0.001485
3855.5,0.002172
3855,0.001759
3854.5,0.001249
3854,0.000822
3853.5,-0.000213
3853,0.00049
3852.5,0.001501
3852,0.001809
3851.5,0.001279
3851,0.000596
3850.5,0.001098
3850,0.002357
3849.5,0.003045
3849,0.001926
3848.5,0.000406
3848,-0.000033
3847.5,0.001214
3847,0.002248
3846.5,0.001901
3846,0.001688
3845.5,0.001433
3845,0.000527
3844.5,-0.000397
3844,-0.000014
3843.5,0.000376
3843,0.000502
3842.5,0.000585
3842,0.000865
3841.5,0.000703
3841,0.00101
3840.5,0.001525
3840,0.001789
3839.5,0.001609
3839,0.000253
3838.5,-0.000251
3838,0.000537
3837.5,0.000283
3837,0.00087
3836.5,0.002377
3836,0.001891
3835.5,0.000606
3835,0.000482
3834.5,0.00096
3834,0.001748
3833.5,0.002673
3833,0.002323
3832.5,0.001049
3832,0.001053
3831.5,0.001942
3831,0.002347
3830.5,0.002938
3830,0.002029
3829.5,0.000532
3829,0.000986
3828.5,0.001445
3828,0.000699
3827.5,0.000401
3827,0.000558
3826.5,0.000316
3826,0.000566
3825.5,0.001516
3825,0.001979
3824.5,0.00205
3824,0.001772
3823.5,0.001335
3823,0.001327
3822.5,0.000654
3822,-0.000308
3821.5,-0.000533
3821,-0.000567
3820.5,0.000334
3820,0.000542
3819.5,0.000057
3819,0.001723
3818.5,0.002333
3818,0.001864
3817.5,0.001932
3817,0.001545
3816.5,0.000976
3816,0.001405
3815.5,0.001744
3815,0.001475
3814.5,0.000875
3814,0.000691
3813.5,0.000578
3813,0.000404
3812.5,0.000978
3812,0.000938
3811.5,0.000699
3811,0.001209
3810.5,0.001797
3810,0.001653
3809.5,0.001355
3809,0.000947
3808.5,0.000505
3808,0.000703
3807.5,0.000799
3807,0.000517
