Tri,TriSig,Dex,DexSig
4000,0.01899,4000,0.0215
3999.5,0.0226,3999.5,0.01661
3999,0.0271,3999,0.01314
3998.5,0.03065,3998.5,0.01719
3998,0.03519,3998,0.02592
3997.5,0.03509,3997.5,0.02778
3997,0.0298,3997,0.02567
3996.5,0.02445,3996.5,0.02425
3996,0.01723,3996,0.01596
3995.5,0.01508,3995.5,0.01028
3995,0.02149,3995,0.01713
3994.5,0.02488,3994.5,0.02222
3994,0.03005,3994,0.02055
3993.5,0.03543,3993.5,0.02507
3993,0.02892,3993,0.02234
3992.5,0.0227,3992.5,0.01639
3992,0.02325,3992,0.01997
3991.5,0.02928,3991.5,0.02658
3991,0.02905,3991,0.01922
3990.5,0.01819,3990.5,0.01558
3990,0.02029,3990,0.02205
3989.5,0.03277,3989.5,0.02318
3989,0.02655,3989,0.01495
3988.5,0.01711,3988.5,0.01764
3988,0.00981,3988,0.02142
3987.5,0.00381,3987.5,0.0132
3987,0.01167,3987,0.01144
3986.5,0.02508,3986.5,0.02069
3986,0.02945,3986,0.01982
3985.5,0.01944,3985.5,0.00905
3985,0.0142,3985,0.00913
3984.5,0.01719,3984.5,0.01452
3984,0.0137,3984,0.0203
3983.5,0.0147,3983.5,0.02179
3983,0.02079,3983,0.01794
3982.5,0.02045,3982.5,0.01698
3982,0.02387,3982,0.02072
3981.5,0.02733,3981.5,0.02052
3981,0.02895,3981,0.02578
3980.5,0.02982,3980.5,0.02513
3980,0.02837,3980,0.01804
3979.5,0.0312,3979.5,0.01432
3979,0.03115,3979,0.0141
3978.5,0.02577,3978.5,0.01802
3978,0.03204,3978,0.02075
3977.5,0.03648,3977.5,0.01515
3977,0.03067,3977,0.01372
3976.5,0.02032,3976.5,0.01601
3976,0.01405,3976,0.01588
3975.5,0.01194,3975.5,0.01741
3975,0.01329,3975,0.01626
3974.5,0.0139,3974.5,0.01836
3974,0.0131,3974,0.01832
3973.5,0.01501,3973.5,0.01513
3973,0.0211,3973,0.02248
3972.5,0.03127,3972.5,0.0289
3972,0.03688,3972,0.02748
3971.5,0.03608,3971.5,0.03017
3971,0.03865,3971,0.03546
3970.5,0.03558,3970.5,0.02937
3970,0.03381,3970,0.02353
3969.5,0.03297,3969.5,0.02642
3969,0.01924,3969,0.0159
3968.5,0.01491,3968.5,0.01576
3968,0.02092,3968,0.02653
3967.5,0.02184,3967.5,0.02407
3967,0.01969,3967,0.02232
3966.5,0.01536,3966.5,0.01946
3966,0.01884,3966,0.02099
3965.5,0.02308,3965.5,0.0211
3965,0.02232,3965,0.02027
3964.5,0.01861,3964.5,0.01886
3964,0.01624,3964,0.01917
3963.5,0.02352,3963.5,0.01802
3963,0.0271,3963,0.02104
3962.5,0.01842,3962.5,0.02297
3962,0.01448,3962,0.015
3961.5,0.02342,3961.5,0.01583
3961,0.02637,3961,0.02219
3960.5,0.02185,3960.5,0.0201
3960,0.0261,3960,0.01907
3959.5,0.02925,3959.5,0.02575
3959,0.02587,3959,0.02732
3958.5,0.02388,3958.5,0.02132
3958,0.01852,3958,0.01545
3957.5,0.01217,3957.5,0.00653
3957,0.01608,3957,0.00372
3956.5,0.02217,3956.5,0.01214
3956,0.0212,3956,0.01934
3955.5,0.02125,3955.5,0.01385
3955,0.02512,3955,0.01528
3954.5,0.03092,3954.5,0.02948
3954,0.02342,3954,0.02712
3953.5,0.01802,3953.5,0.0212
3953,0.01994,3953,0.02004
3952.5,0.01613,3952.5,0.01766
3952,0.01646,3952,0.01629
3951.5,0.01644,3951.5,0.01711
3951,0.01749,3951,0.01475
3950.5,0.01624,3950.5,0.01706
3950,0.0093,3950,0.01761
3949.5,0.01846,3949.5,0.0209
3949,0.02933,3949,0.02795
3948.5,0.0235,3948.5,0.02222
3948,0.01234,3948,0.01653
3947.5,0.01926,3947.5,0.02393
3947,0.02965,3947,0.0257
